path,tag,name,keyword,VR,private,value,count
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.13151303131009131214000609090104,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.15080409060108110106110204020115,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.06120903051105150112061201080014,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.05020106091400040809110708040301,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.15140601101305061400021505010802,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.07151108041411120004040810151209,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.02090003020511130407030106110206,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.04080409110008071309041404000111,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.11150104101400000200001411070008,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.00090714091003060206031503010409,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.13150808100913111314080101030008,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.11020707081006150000011408140609,1
